age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary,CLIENT_ID
69, Private,197080, HS-grad,9.0, Widowed, Adm-clerical, Unmarried, White, Male,0,0,8, United-States,0,10372
45, Private,83064, Bachelors,13.0, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,0,5819
40, Private,55191, Some-college,10.0, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States,0,30289
43, Private,214781, Masters,14.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States,0,11552
20, Private,218343, HS-grad,9.0, Never-married, Other-service, Own-child, White, Female,0,0,25, United-States,0,12920
29, Private,319149, 12th,8.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Mexico,0,12141
39, State-gov,343646, Bachelors,13.0, Divorced, Protective-serv, Not-in-family, White, Male,0,0,40, Mexico,1,29700
30, Private,299507, Assoc-acdm,12.0, Separated, Other-service, Unmarried, White, Female,0,0,40, United-States,0,16257
65, Private,386672, Assoc-voc,11.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,15, United-States,0,21999
40, Federal-gov,75313, Bachelors,, Married-civ-spouse,, Husband, White, Male,7688,0,66, United-States,1,640
32, Private,205581, Some-college,10.0, Separated, Tech-support, Unmarried, White, Female,0,0,50, United-States,0,4408
55, Self-emp-not-inc,193374, HS-grad,9.0, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0,9138
38, State-gov,142022, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0,0,40, United-States,0,2058
28, Private,103802, Bachelors,13.0, Never-married, Exec-managerial, Own-child, White, Female,0,1408,40, ?,0,30244
45, State-gov,187581, Assoc-voc,11.0, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,0,8296
20, Private,163665, Some-college,10.0, Never-married, Transport-moving, Own-child, White, Female,0,0,17, United-States,0,2020
24, Private,193920, Masters,14.0, Never-married, Priv-house-serv, Not-in-family, White, Female,0,0,45, ?,0,21184
27, Private,38353, Assoc-voc,11.0, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States,0,6251
31, Private,59083, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,0,17045
90, ?,313986, HS-grad,9.0, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States,1,21014
28, Private,185127, Some-college,10.0, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States,0,1363
36, Private,131459, 7th-8th,4.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0,18375
65, State-gov,215908, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,2174,40, United-States,1,25563
36, Private,187046, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,1,11531
50, Private,191062, HS-grad,9.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,0,16284
27, ?,175552, 5th-6th,3.0, Married-civ-spouse, ?, Wife, White, Female,0,0,40, Mexico,0,4793
48, Private,93476, HS-grad,9.0, Separated, Adm-clerical, Not-in-family, White, Female,0,2001,40, United-States,0,25965
30, Private,313038, HS-grad,9.0, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0,14042
68, Private,201732, Some-college,10.0, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States,0,30625
39, Private,305597, Assoc-voc,11.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0,28004
54, Private,178946, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, United-States,1,15436
19, ?,47713, Some-college,10.0, Never-married, ?, Own-child, White, Female,0,0,40, United-States,0,4987
17, Private,276718, HS-grad,9.0, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, United-States,0,23383
59, Self-emp-not-inc,41258, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,0,15434
38, Federal-gov,248919, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0,2051,40, United-States,0,14566
47, Private,70754, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0,7181
56, Self-emp-not-inc,403072, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States,1,18460
26, Private,226288, Bachelors,13.0, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States,0,11704
38, Private,160035, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,55, United-States,0,11454
24, Private,283872, Some-college,10.0, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,20, United-States,0,23866
24, State-gov,330836, HS-grad,9.0, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,0,32399
64, ?,159938, HS-grad,9.0, Divorced, ?, Not-in-family, White, Male,8614,0,40, United-States,1,21366
33, ?,102130, Some-college,10.0, Never-married, ?, Own-child, White, Male,0,0,40, United-States,0,6189
73, Local-gov,232871, 7th-8th,4.0, Married-civ-spouse, Protective-serv, Husband, White, Male,2228,0,10, United-States,0,25196
48, Private,377757, 10th,6.0, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States,0,29032
58, Self-emp-not-inc,49884, HS-grad,9.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States,0,17345
31, Private,241360, Bachelors,13.0, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States,0,19793
19, Private,574271, HS-grad,9.0, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,28, United-States,0,2809
29, Private,169815, Assoc-acdm,12.0, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,1,15602
27, Private,176683, Assoc-acdm,12.0, Never-married, Sales, Not-in-family, White, Male,0,0,52, United-States,0,19569
50, Self-emp-inc,132716, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Germany,1,9323
42, Local-gov,238188, Masters,14.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States,1,9699
26, Private,332008, Some-college,10.0, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,37, Taiwan,0,15760
50, Self-emp-not-inc,175456, HS-grad,9.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States,0,14480
25, Private,57635, Assoc-voc,11.0, Married-civ-spouse, Sales, Wife, White, Female,0,0,42, United-States,1,25283
47, Private,335973, HS-grad,9.0, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States,0,18641
17, Private,32763, 10th,6.0, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States,0,23468
40, Private,89226, Bachelors,13.0, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,1,14623
24, Private,301199, Some-college,10.0, Never-married, Tech-support, Own-child, White, Female,0,0,20, United-States,0,30690
19, Private,248749, Some-college,10.0, Never-married, Sales, Own-child, White, Male,0,0,20, United-States,0,31250
62, State-gov,39630, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,0,30036
47, Private,176239, Some-college,10.0, Widowed, Prof-specialty, Unmarried, White, Female,0,0,40, United-States,0,20400
57, Self-emp-inc,180211, Prof-school,15.0, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,50, Taiwan,1,16629
43, Private,195258, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,1,10256
35, Federal-gov,287658, Some-college,10.0, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, United-States,1,7086
38, Private,76878, 11th,7.0, Married-civ-spouse, Craft-repair, Husband, White, Male,5178,0,40, United-States,1,18593
20, Private,37932, HS-grad,9.0, Never-married, Other-service, Own-child, White, Male,0,0,50, United-States,0,5767
29, Private,406826, Bachelors,13.0, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States,0,10391
39, Local-gov,267893, Assoc-acdm,12.0, Married-civ-spouse, Craft-repair, Husband, Black, Male,7298,0,40, United-States,1,18500
62, Federal-gov,159165, HS-grad,9.0, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,36, United-States,0,28153
20, ?,273701, Some-college,10.0, Never-married, ?, Other-relative, Black, Male,34095,0,10, United-States,0,32060
51, Private,45599, HS-grad,9.0, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States,0,32446
20, Self-emp-inc,182200, HS-grad,9.0, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,30, United-States,0,30319
22, Private,117363, Bachelors,13.0, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States,0,5675
45, Private,102202, Assoc-voc,11.0, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0,9277
41, Private,116103, HS-grad,9.0, Widowed, Exec-managerial, Other-relative, White, Male,914,0,40, United-States,0,18205
43, Private,180985, Some-college,10.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States,1,22408
34, Private,140092, HS-grad,9.0, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States,0,4838
44, Self-emp-not-inc,38876, HS-grad,9.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States,0,30467
24, Private,190290, Bachelors,13.0, Never-married, Sales, Not-in-family, White, Male,0,0,60, United-States,0,1596
41, Private,174540, Some-college,10.0, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,4, United-States,0,27111
38, Self-emp-not-inc,65716, Assoc-voc,, Divorced,, Unmarried, White, Female,0,0,40, United-States,0,75
60, Private,163665, Some-college,10.0, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,16, United-States,1,8992
26, Local-gov,213451, Some-college,10.0, Never-married, Other-service, Own-child, Black, Female,0,0,10, Jamaica,0,29802
31, Private,124420, 11th,7.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0,22637
49, Private,195612, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,40, United-States,1,3369
40, Private,47902, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,0,29580
39, Private,99527, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,1,9577
30, Private,203488, Some-college,10.0, Never-married, Craft-repair, Not-in-family, White, Male,0,0,44, United-States,0,20959
24, Private,82777, HS-grad,9.0, Separated, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States,0,18574
17, Private,56536, 11th,7.0, Never-married, Sales, Own-child, White, Female,1055,0,18, India,0,10053
74, Private,91488, 1st-4th,2.0, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,20, United-States,0,5416
55, Self-emp-not-inc,158315, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,1,11366
17, Private,186067, 10th,6.0, Never-married, Tech-support, Own-child, White, Male,0,0,10, United-States,0,10987
24, Private,32732, HS-grad,, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States,0,903
38, Private,175441, HS-grad,9.0, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, United-States,0,1683
21, Private,234108, Some-college,10.0, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States,0,17093
37, Local-gov,247750, Assoc-voc,11.0, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, United-States,0,15414
18, Private,162840, 12th,8.0, Never-married, Sales, Own-child, White, Female,0,0,20, United-States,0,28988
32, Private,32406, Bachelors,13.0, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States,0,7931
57, Private,35884, HS-grad,, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States,0,230
46, Private,306183, HS-grad,9.0, Never-married, Adm-clerical, Unmarried, White, Female,0,0,37, United-States,0,29455
27, Private,240809, Some-college,10.0, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,56, United-States,0,7015
23, Private,126346, 9th,5.0, Never-married, Other-service, Unmarried, Black, Female,0,0,30, United-States,0,31050
22, Private,325033, 12th,8.0, Never-married, Protective-serv, Own-child, Black, Male,0,0,35, United-States,0,14149
42, Private,137698, 5th-6th,3.0, Married-spouse-absent, Farming-fishing, Not-in-family, White, Male,0,0,35, Mexico,0,30169
35, Self-emp-not-inc,147258, Assoc-voc,11.0, Never-married, Farming-fishing, Own-child, White, Male,0,0,65, United-States,0,22928
45, Private,145637, Some-college,10.0, Divorced, Adm-clerical, Unmarried, White, Female,0,0,48, United-States,0,14563
30, Self-emp-not-inc,281030, HS-grad,9.0, Never-married, Sales, Unmarried, White, Male,0,0,66, United-States,0,16713
25, ?,335376, Bachelors,13.0, Never-married, ?, Own-child, White, Female,0,0,30, United-States,0,14209
51, Private,172046, Masters,14.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,50, United-States,1,9404
31, Private,703107, HS-grad,9.0, Never-married, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, United-States,0,4761
41, Private,163322, Bachelors,13.0, Divorced, Tech-support, Not-in-family, White, Female,0,0,30, ?,0,24563
34, Local-gov,213722, HS-grad,9.0, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,57, United-States,1,13164
65, Local-gov,143570, Some-college,10.0, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States,0,5052
40, ?,180362, Bachelors,13.0, Never-married, ?, Own-child, White, Female,0,0,40, United-States,0,22949
22, Private,197613, Assoc-voc,11.0, Never-married, Other-service, Not-in-family, White, Female,0,0,30, United-States,0,13407
51, Private,158948, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,84, United-States,1,1792
34, Private,120461, Some-college,10.0, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,50, United-States,0,15857
40, Private,130834, Some-college,10.0, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0,27794
58, Private,119751, HS-grad,9.0, Married-civ-spouse, Priv-house-serv, Other-relative, Asian-Pac-Islander, Female,0,0,60, Philippines,0,25118
62, Private,244933, Masters,14.0, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States,0,31745
37, Local-gov,128054, Some-college,10.0, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States,0,21530
43, Private,180138, HS-grad,9.0, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, United-States,0,13758
28, Private,166481, 7th-8th,4.0, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,2179,40, Puerto-Rico,0,14192
20, Private,42279, Some-college,10.0, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States,0,1117
67, Self-emp-not-inc,148690, Masters,14.0, Widowed, Prof-specialty, Not-in-family, White, Male,18481,0,2, United-States,1,13708
19, Private,451951, HS-grad,9.0, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States,0,11803
44, Private,75227, Prof-school,15.0, Never-married, Prof-specialty, Not-in-family, White, Male,14084,0,40, United-States,1,5338
30, Private,212064, Bachelors,13.0, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States,0,26128
64, Self-emp-inc,142166, Bachelors,13.0, Divorced, Sales, Not-in-family, White, Male,0,0,45, United-States,0,2276
51, Self-emp-not-inc,256963, Some-college,10.0, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States,0,4967
34, Private,340458, 12th,8.0, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States,0,7699
57, Self-emp-inc,146103, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States,1,8660
21, Private,147655, HS-grad,9.0, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States,0,1013
26, Private,385278, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,60, United-States,0,21071
71, Private,269708, Bachelors,13.0, Divorced, Tech-support, Own-child, White, Female,2329,0,16, United-States,0,17698
32, Private,604506, HS-grad,9.0, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,72, Mexico,0,15132
35, Private,241306, Assoc-voc,11.0, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States,1,19875
22, Local-gov,399020, Some-college,10.0, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,55, United-States,0,20412
32, Private,381583, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States,0,18266
17, Private,25690, 10th,6.0, Never-married, Other-service, Own-child, White, Female,0,0,10, United-States,0,17956
55, Private,143372, HS-grad,9.0, Divorced, Sales, Unmarried, Black, Female,0,0,40, United-States,0,7249
21, Private,225541, Some-college,10.0, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0,30117
22, Private,204160, HS-grad,9.0, Divorced, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States,0,5289
20, Self-emp-not-inc,197207, HS-grad,9.0, Divorced, Sales, Not-in-family, White, Female,0,0,30, United-States,0,9222
21, Private,195199, HS-grad,9.0, Never-married, Prof-specialty, Own-child, White, Female,0,0,30, United-States,0,18552
36, Private,174938, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1887,50, United-States,1,22604
30, Private,345522, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,3103,0,70, United-States,1,16180
66, ?,260111, Some-college,10.0, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States,1,1093
23, Private,215624, Some-college,10.0, Never-married, Machine-op-inspct, Unmarried, Asian-Pac-Islander, Male,0,0,40, Vietnam,0,25602
22, Self-emp-not-inc,199011, HS-grad,9.0, Never-married, Craft-repair, Other-relative, White, Male,0,0,20, United-States,0,11508
41, Private,173858, 7th-8th,4.0, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, China,0,32264
26, Private,120268, HS-grad,9.0, Married-civ-spouse, Other-service, Husband, White, Male,0,0,50, United-States,0,21266
28, Private,183597, Doctorate,16.0, Never-married, Prof-specialty, Not-in-family, White, Male,594,0,50, Germany,0,12375
44, Private,170924, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, United-States,1,1667
29, Federal-gov,339002, Assoc-voc,11.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,1,26230
30, Self-emp-not-inc,116666, Masters,14.0, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,50, India,1,21693
34, Private,100593, Some-college,10.0, Divorced, Prof-specialty, Unmarried, White, Female,0,0,6, United-States,0,19087
47, Private,266275, HS-grad,9.0, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States,0,26229
